Student_ID,Date,Attendance_Status,Subject
S00132,2024-10-31,Absent,Database Management Systems
S00071,2024-10-23, late,Operating Systems
S00014,2024-10-31,Present,Operating Systems
S00021,2025-02-05,excused,Computer Networks
S00042,2024-10-02,left early,Software Engineering Lab
S00032,2024-11-23, late,Artificial Intelligence Lab
S00056,2024-04-30,left early,Mathematics for Computing
S00115,2024-08-30,Late,Artificial Intelligence Lab
S00015,2024-10-20,left early,Software Engineering Lab
S00060,2025-02-16,Absent,Machine Learning
S00068,2024-11-04, late,Operating Systems
S00076,2024-04-03,Present,Mathematics for Computing
S00035,2024-06-30, late,Database Management Systems
S00143,2024-09-10,Absent,Operating Systems
S00028,2024-07-24,Absent,Mathematics for Computing
S00111,2024-04-17, late,Artificial Intelligence Lab
S00142,2024-04-09,Absent,Database Management Systems
S00064,2024-12-25,Present,Mathematics for Computing
S00014,2024-10-22,left early,Machine Learning
S00118,2024-07-14,Late,Database Management Systems
S00148,2024-09-02,Absent,Artificial Intelligence Lab
S00020,2024-09-07,Late,Database Management Systems
S00062,2025-02-07, late,Operating Systems
S00019,2024-10-10,Late,Artificial Intelligence Lab
S00009,2024-03-28,Present,Computer Networks
S00087,2025-01-03, late,Machine Learning
S00141,2024-08-29,Present,Computer Networks
S00075,2024-10-27,PRESENT ,Mathematics for Computing
S00083,2024-06-19,left early,Database Management Systems
S00079,2025-01-28,Present,Software Engineering Lab
S00071,2024-08-04,Absent,Machine Learning
S00105,2024-07-23,PRESENT ,Operating Systems
S00140,2025-02-18,PRESENT ,Artificial Intelligence Lab
S00070,2024-10-13,left early,Machine Learning
S00019,2025-01-17,Late,Machine Learning
S00047,2024-06-22,Late,Machine Learning
S00084,2025-01-19,excused,Machine Learning
S00086,2024-10-14, late,Machine Learning
S00101,2024-10-27,absnt,Machine Learning
S00026,2024-06-24,Late,Machine Learning
S00101,2024-06-09,Late,Machine Learning
S00129,2025-03-02,excused,Database Management Systems
S00086,2024-11-25, late,Machine Learning
S00135,2024-04-20,Absent,Software Engineering Lab
S00134,2024-04-07,Late,Mathematics for Computing
S00129,2024-05-18,excused,Computer Networks
S00132,2024-05-09, late,Machine Learning
S00028,2024-11-26, late,Machine Learning
S00146,2024-06-14,left early,Artificial Intelligence Lab
S00144,2025-01-23,absnt,Software Engineering Lab
S00104,2024-07-30,PRESENT ,Mathematics for Computing
S00029,2024-10-06,Present,Mathematics for Computing
S00002,2024-10-11,Absent,Operating Systems
S00005,2024-03-12, late,Software Engineering Lab
S00027,2024-07-29,Absent,Software Engineering Lab
S00106,2024-06-16,PRESENT ,Operating Systems
S00150,2024-11-13, late,Computer Networks
S00127,2024-10-25,Late,Operating Systems
S00140,2024-03-15,Late,Software Engineering Lab
S00009,2024-12-20,excused,Software Engineering Lab
S00115,2024-08-26,excused,Software Engineering Lab
S00120,2025-01-13, late,Artificial Intelligence Lab
S00058,2024-03-26, late,Machine Learning
S00150,2024-12-10,PRESENT ,Operating Systems
S00029,2024-04-17,Late,Database Management Systems
S00014,2024-09-25,Present,Computer Networks
S00079,2024-07-28,Absent,Operating Systems
S00129,2024-04-13,absnt,Software Engineering Lab
S00148,2024-11-16,absnt,Database Management Systems
S00122,2025-01-10, late,Machine Learning
S00121,2024-08-27,left early,Mathematics for Computing
S00122,2025-02-07, late,Computer Networks
S00140,2025-01-27,left early,Machine Learning
S00085,2024-11-15,Late,Computer Networks
S00014,2024-12-11,left early,Database Management Systems
S00145,2024-12-19,Absent,Operating Systems
S00085,2024-12-18,Present,Computer Networks
S00049,2025-01-12,PRESENT ,Artificial Intelligence Lab
S00085,2024-05-31,Absent,Computer Networks
S00141,2024-08-06,Late,Database Management Systems
S00061,2024-10-23,Late,Software Engineering Lab
S00104,2024-05-11,Present,Operating Systems
S00022,2024-12-31, late,Software Engineering Lab
S00037,2024-05-03,Present,Computer Networks
S00086,2024-08-03,left early,Computer Networks
S00052,2024-05-30,excused,Database Management Systems
S00101,2024-11-18,Absent,Operating Systems
S00023,2025-02-19,Late,Machine Learning
S00080,2024-10-07,Absent,Machine Learning
S00059,2024-09-15,Absent,Artificial Intelligence Lab
S00030,2025-02-07, late,Operating Systems
S00147,2024-06-21,PRESENT ,Database Management Systems
S00081,2024-06-22,absnt,Database Management Systems
S00044,2024-06-10, late,Computer Networks
S00018,2024-08-13,excused,Operating Systems
S00038,2024-05-25,Present,Artificial Intelligence Lab
S00029,2025-01-22,PRESENT ,Computer Networks
S00063,2024-08-31, late,Mathematics for Computing
S00055,2024-09-19,Absent,Mathematics for Computing
S00106,2024-07-15,absnt,Software Engineering Lab
S00118,2024-05-04,Late,Operating Systems
S00097,2024-10-10,excused,Artificial Intelligence Lab
S00001,2024-12-22,left early,Mathematics for Computing
S00079,2024-08-06,left early,Artificial Intelligence Lab
S00032,2024-03-29,Late,Mathematics for Computing
S00088,2025-02-24,Absent,Mathematics for Computing
S00057,2024-04-30,Late,Mathematics for Computing
S00064,2025-01-03,absnt,Software Engineering Lab
S00015,2025-02-03,Present,Operating Systems
S00021,2024-06-01,Present,Database Management Systems
S00090,2025-01-23,left early,Software Engineering Lab
S00147,2024-03-13, late,Operating Systems
S00113,2024-10-31,Present,Mathematics for Computing
S00010,2024-04-18,Present,Mathematics for Computing
S00053,2024-06-10,PRESENT ,Software Engineering Lab
S00025,2024-07-24,Absent,Artificial Intelligence Lab
S00065,2025-03-01,Present,Computer Networks
S00087,2024-03-09,Late,Artificial Intelligence Lab
S00038,2024-11-18,PRESENT ,Mathematics for Computing
S00082,2025-03-01,PRESENT ,Operating Systems
S00138,2024-06-29,PRESENT ,Database Management Systems
S00149,2024-06-01,PRESENT ,Operating Systems
S00090,2024-06-17,absnt,Machine Learning
S00092,2025-02-28,excused,Artificial Intelligence Lab
S00038,2024-08-20,Absent,Artificial Intelligence Lab
S00034,2024-10-20,PRESENT ,Mathematics for Computing
S00144,2024-07-22,PRESENT ,Operating Systems
S00084,2024-05-23,absnt,Operating Systems
S00090,2024-10-26, late,Artificial Intelligence Lab
S00111,2024-05-18, late,Machine Learning
S00080,2025-03-09,absnt,Machine Learning
S00116,2024-12-21,Late,Artificial Intelligence Lab
S00039,2024-05-23,left early,Database Management Systems
S00119,2024-12-10,left early,Machine Learning
S00117,2024-07-02,excused,Computer Networks
S00063,2025-02-06,left early,Software Engineering Lab
S00108,2024-12-12, late,Mathematics for Computing
S00031,2024-11-25,absnt,Machine Learning
S00108,2024-05-10,left early,Operating Systems
S00146,2024-04-13,left early,Database Management Systems
S00076,2025-01-24,left early,Operating Systems
S00018,2024-09-08,PRESENT ,Machine Learning
S00146,2024-10-16,Present,Computer Networks
S00103,2024-07-23,left early,Software Engineering Lab
S00134,2024-11-17,left early,Software Engineering Lab
S00099,2025-03-02,absnt,Computer Networks
S00001,2024-10-25,Late,Database Management Systems
S00141,2024-11-28,Late,Software Engineering Lab
S00069,2024-06-14,left early,Software Engineering Lab
S00098,2024-12-07,PRESENT ,Operating Systems
S00101,2024-09-18,excused,Operating Systems
S00108,2024-09-08,absnt,Database Management Systems
S00083,2024-07-10,Absent,Operating Systems
S00148,2024-08-28,Present,Mathematics for Computing
S00054,2025-02-20,absnt,Computer Networks
S00025,2024-08-31,Late,Software Engineering Lab
S00083,2025-01-24,Late,Mathematics for Computing
S00085,2024-08-27,Absent,Mathematics for Computing
S00075,2025-01-27,Present,Mathematics for Computing
S00012,2024-10-03,left early,Software Engineering Lab
S00112,2025-01-25,PRESENT ,Mathematics for Computing
S00111,2024-06-14,Late,Operating Systems
S00093,2025-02-16, late,Operating Systems
S00043,2024-03-28,Present,Database Management Systems
S00141,2024-12-27,PRESENT ,Computer Networks
S00097,2024-11-30,excused,Database Management Systems
S00096,2025-03-05,Late,Artificial Intelligence Lab
S00146,2024-07-01,excused,Operating Systems
S00115,2024-10-30,absnt,Mathematics for Computing
S00008,2024-05-21,PRESENT ,Machine Learning
S00106,2024-04-30,excused,Operating Systems
S00010,2024-06-16, late,Software Engineering Lab
S00078,2024-09-15, late,Artificial Intelligence Lab
S00029,2024-05-19,Absent,Operating Systems
S00021,2024-06-05,Present,Software Engineering Lab
S00110,2024-12-26,Present,Computer Networks
S00053,2024-12-08,absnt,Database Management Systems
S00132,2024-08-28,Absent,Computer Networks
S00120,2025-01-11,absnt,Computer Networks
S00015,2024-07-07, late,Computer Networks
S00074,2024-10-24,excused,Database Management Systems
S00131,2025-01-18, late,Artificial Intelligence Lab
S00140,2024-06-12,Late,Software Engineering Lab
S00053,2024-10-26,Late,Machine Learning
S00126,2024-09-16,absnt,Database Management Systems
S00093,2024-07-31,Present,Operating Systems
S00033,2024-07-06, late,Artificial Intelligence Lab
S00129,2025-01-21,absnt,Database Management Systems
S00080,2024-12-10,Late,Machine Learning
S00137,2025-01-25,excused,Operating Systems
S00009,2024-07-07,Late,Mathematics for Computing
S00011,2024-07-09,Present,Computer Networks
S00032,2024-12-23,excused,Operating Systems
S00102,2024-03-10,Present,Database Management Systems
S00034,2024-04-09, late,Artificial Intelligence Lab
S00137,2024-07-05,absnt,Operating Systems
S00040,2024-04-05,absnt,Computer Networks
S00086,2024-05-31,Absent,Software Engineering Lab
S00089,2024-06-15,PRESENT ,Artificial Intelligence Lab
S00149,2025-02-02,Late,Artificial Intelligence Lab
S00030,2024-03-10,Present,Mathematics for Computing
S00018,2024-04-22,excused,Machine Learning
S00048,2024-08-24, late,Database Management Systems
S00031,2024-11-14,Late,Artificial Intelligence Lab
S00120,2025-01-23,Absent,Mathematics for Computing
S00001,2025-02-10,excused,Software Engineering Lab
S00080,2024-04-24,left early,Mathematics for Computing
S00030,2024-08-16,Present,Mathematics for Computing
S00147,2025-01-26,Late,Mathematics for Computing
S00038,2024-09-10,excused,Machine Learning
S00047,2024-10-19, late,Operating Systems
S00147,2025-01-06,left early,Artificial Intelligence Lab
S00043,2025-01-04,Absent,Operating Systems
S00103,2024-07-01,PRESENT ,Machine Learning
S00097,2024-05-21,Absent,Artificial Intelligence Lab
S00056,2024-09-30,Late,Database Management Systems
S00116,2024-12-12, late,Operating Systems
S00111,2024-06-07,PRESENT ,Mathematics for Computing
S00061,2024-08-02,PRESENT ,Operating Systems
S00113,2024-08-11,PRESENT ,Database Management Systems
S00070,2024-08-20,absnt,Software Engineering Lab
S00060,2024-07-28,Present,Computer Networks
S00003,2024-06-01, late,Database Management Systems
S00039,2024-11-09,left early,Machine Learning
S00148,2024-08-17,left early,Computer Networks
S00039,2024-05-15,absnt,Computer Networks
S00137,2025-02-14,excused,Operating Systems
S00065,2024-10-07,Present,Mathematics for Computing
S00096,2024-07-26, late,Software Engineering Lab
S00074,2024-09-29,absnt,Operating Systems
S00044,2024-05-19,Late,Software Engineering Lab
S00142,2024-06-29, late,Machine Learning
S00109,2024-11-15,PRESENT ,Software Engineering Lab
S00112,2024-03-22,Present,Machine Learning
S00019,2024-07-07,Present,Computer Networks
S00061,2024-07-19, late,Operating Systems
S00102,2024-12-17,PRESENT ,Database Management Systems
S00076,2024-06-01,excused,Computer Networks
S00011,2025-02-05,PRESENT ,Software Engineering Lab
S00146,2024-06-15,Absent,Operating Systems
S00072,2024-04-01,excused,Machine Learning
S00091,2024-08-01,Absent,Software Engineering Lab
S00143,2024-09-25,excused,Machine Learning
S00080,2024-11-19, late,Software Engineering Lab
S00053,2024-05-11,excused,Artificial Intelligence Lab
S00051,2024-09-10,absnt,Machine Learning
S00086,2024-11-19,PRESENT ,Software Engineering Lab
S00067,2025-02-18,absnt,Software Engineering Lab
S00132,2024-09-01, late,Database Management Systems
S00110,2024-09-23,PRESENT ,Database Management Systems
S00134,2024-07-23, late,Computer Networks
S00099,2025-02-04,absnt,Mathematics for Computing
S00087,2024-05-12,Absent,Computer Networks
S00093,2025-02-07,Late,Artificial Intelligence Lab
S00039,2024-10-16,absnt,Database Management Systems
S00034,2024-11-09,left early,Mathematics for Computing
S00095,2024-09-27,Present,Mathematics for Computing
S00016,2024-11-29,excused,Mathematics for Computing
S00102,2024-11-13,Late,Software Engineering Lab
S00133,2024-06-24, late,Mathematics for Computing
S00024,2024-12-09,PRESENT ,Software Engineering Lab
S00005,2024-04-08,PRESENT ,Operating Systems
S00061,2024-05-05,Late,Operating Systems
S00117,2024-11-25,Present,Artificial Intelligence Lab
S00141,2024-10-15,Absent,Mathematics for Computing
S00086,2025-03-02,excused,Computer Networks
S00085,2024-06-05, late,Database Management Systems
S00104,2024-10-10,Late,Software Engineering Lab
S00062,2024-05-02,absnt,Operating Systems
S00089,2024-05-18,Present,Mathematics for Computing
S00010,2024-10-07,Late,Machine Learning
S00120,2024-06-02,PRESENT ,Database Management Systems
S00139,2024-08-10,absnt,Operating Systems
S00087,2024-04-22,left early,Mathematics for Computing
S00066,2024-11-18,PRESENT ,Machine Learning
S00069,2024-09-26,left early,Operating Systems
S00096,2025-01-07,PRESENT ,Operating Systems
S00125,2024-09-18, late,Database Management Systems
S00137,2024-08-28, late,Mathematics for Computing
S00141,2024-09-28,absnt,Mathematics for Computing
S00120,2025-03-01,excused,Computer Networks
S00012,2024-10-22,excused,Artificial Intelligence Lab
S00107,2024-04-07, late,Computer Networks
S00094,2025-02-11,left early,Computer Networks
S00049,2024-05-07,absnt,Artificial Intelligence Lab
S00084,2024-06-27,excused,Mathematics for Computing
S00138,2025-01-24,Absent,Software Engineering Lab
S00020,2024-08-07,Late,Operating Systems
S00018,2024-08-18,PRESENT ,Database Management Systems
S00057,2024-12-06,absnt,Computer Networks
S00102,2024-03-25, late,Database Management Systems
S00149,2025-01-25,excused,Computer Networks
S00056,2024-11-28,excused,Computer Networks
S00035,2025-02-28, late,Artificial Intelligence Lab
S00083,2024-10-25,Present,Computer Networks
S00144,2024-04-07,absnt,Computer Networks
S00061,2024-05-31,Present,Artificial Intelligence Lab
S00128,2025-02-05, late,Machine Learning
S00005,2024-05-16,absnt,Mathematics for Computing
S00111,2024-04-06, late,Machine Learning
S00025,2024-12-20, late,Operating Systems
S00070,2025-01-06,Present,Artificial Intelligence Lab
S00089,2025-02-22,Absent,Computer Networks
S00090,2024-09-03,PRESENT ,Computer Networks
S00083,2024-11-06,Present,Software Engineering Lab
S00122,2024-10-11,Absent,Mathematics for Computing
S00020,2024-10-04,left early,Operating Systems
S00081,2024-06-08,Absent,Operating Systems
S00110,2024-05-02,Late,Computer Networks
S00149,2024-04-07,absnt,Computer Networks
S00135,2024-12-12,left early,Software Engineering Lab
S00083,2024-10-21,Absent,Database Management Systems
S00024,2024-05-26,Late,Computer Networks
S00118,2024-12-31,excused,Mathematics for Computing
S00050,2024-07-19,Present,Mathematics for Computing
S00100,2024-06-15,Present,Operating Systems
S00148,2024-04-24,Present,Computer Networks
S00014,2024-10-10,left early,Software Engineering Lab
S00036,2024-11-05, late,Mathematics for Computing
S00100,2024-04-23,Late,Mathematics for Computing
S00019,2024-12-02,Absent,Database Management Systems
S00094,2025-02-10,Absent,Computer Networks
S00055,2024-06-16,excused,Computer Networks
S00001,2024-11-07,Present,Mathematics for Computing
S00054,2025-01-06,Present,Database Management Systems
S00118,2024-06-07,Present,Software Engineering Lab
S00124,2024-06-26,absnt,Operating Systems
S00115,2025-02-02,Late,Database Management Systems
S00091,2024-06-12,absnt,Computer Networks
S00009,2024-11-10,absnt,Machine Learning
S00108,2024-09-10,absnt,Mathematics for Computing
S00056,2025-02-12,excused,Artificial Intelligence Lab
S00044,2024-05-07,Absent,Software Engineering Lab
S00125,2024-05-19,left early,Operating Systems
S00022,2024-11-29,absnt,Computer Networks
S00051,2024-06-04,left early,Operating Systems
S00032,2024-05-18,PRESENT ,Artificial Intelligence Lab
S00112,2025-02-20,Late,Software Engineering Lab
S00101,2024-07-16,Late,Artificial Intelligence Lab
S00108,2024-08-07,Absent,Machine Learning
S00036,2024-11-22,Absent,Computer Networks
S00035,2025-03-07,excused,Computer Networks
S00003,2024-12-28,excused,Software Engineering Lab
S00056,2024-09-21,PRESENT ,Computer Networks
S00068,2024-09-10,left early,Software Engineering Lab
S00068,2025-01-18,absnt,Operating Systems
S00101,2024-10-27,Absent,Artificial Intelligence Lab
S00129,2024-12-01,Present,Mathematics for Computing
S00021,2024-09-14, late,Database Management Systems
S00016,2024-05-16,Present,Machine Learning
S00006,2025-01-08,absnt,Database Management Systems
S00047,2024-08-20,PRESENT ,Computer Networks
S00035,2024-12-07,Present,Artificial Intelligence Lab
S00058,2025-01-25,Late,Machine Learning
S00134,2025-01-20,Late,Software Engineering Lab
S00078,2025-02-26,Late,Mathematics for Computing
S00011,2024-09-10,Present,Mathematics for Computing
S00091,2024-04-29, late,Mathematics for Computing
S00043,2024-09-09,absnt,Mathematics for Computing
S00011,2025-02-18,Present,Software Engineering Lab
S00086,2024-06-04,excused,Artificial Intelligence Lab
S00009,2024-08-04,PRESENT ,Computer Networks
S00105,2024-12-04,excused,Artificial Intelligence Lab
S00099,2025-03-03,PRESENT ,Software Engineering Lab
S00052,2024-12-09,PRESENT ,Computer Networks
S00125,2024-05-09,Present,Machine Learning
S00137,2024-09-14,PRESENT ,Operating Systems
S00130,2024-07-21, late,Software Engineering Lab
S00092,2024-03-09, late,Software Engineering Lab
S00137,2024-06-23,Late,Mathematics for Computing
S00032,2024-11-29,Late,Artificial Intelligence Lab
S00008,2025-02-09,Present,Software Engineering Lab
S00147,2024-09-14,absnt,Database Management Systems
S00123,2024-04-14,left early,Database Management Systems
S00128,2024-04-20,absnt,Machine Learning
S00009,2025-01-06,excused,Operating Systems
S00145,2024-04-17,left early,Computer Networks
S00007,2025-02-25,Late,Mathematics for Computing
S00117,2024-07-28,PRESENT ,Machine Learning
S00006,2025-02-13,Present,Database Management Systems
S00120,2025-02-16,left early,Operating Systems
S00138,2024-09-16,Late,Mathematics for Computing
S00013,2024-10-19,Late,Computer Networks
S00060,2024-09-09,left early,Database Management Systems
S00130,2024-12-29,absnt,Machine Learning
S00140,2024-04-06,Late,Computer Networks
S00104,2025-01-23,Absent,Software Engineering Lab
S00094,2024-12-21,Present,Operating Systems
S00128,2024-10-09,PRESENT ,Artificial Intelligence Lab
S00085,2024-12-21,Late,Database Management Systems
S00046,2025-03-06, late,Operating Systems
S00127,2024-03-20,absnt,Operating Systems
S00107,2024-08-27,Present,Artificial Intelligence Lab
S00049,2025-02-26,Absent,Artificial Intelligence Lab
S00145,2024-05-25,Absent,Operating Systems
S00128,2025-01-21,absnt,Mathematics for Computing
S00078,2024-03-11,Present,Operating Systems
S00124,2025-02-22, late,Computer Networks
S00068,2024-05-16,absnt,Machine Learning
S00020,2024-05-14,PRESENT ,Artificial Intelligence Lab
S00108,2024-09-12,Present,Artificial Intelligence Lab
S00127,2024-05-22,Late,Operating Systems
S00137,2024-05-23,left early,Operating Systems
S00120,2024-07-12,excused,Operating Systems
S00068,2024-10-15,Present,Mathematics for Computing
S00090,2024-04-01,excused,Artificial Intelligence Lab
S00046,2024-03-22,Absent,Database Management Systems
S00087,2024-09-21,Present,Mathematics for Computing
S00004,2024-07-04,left early,Artificial Intelligence Lab
S00102,2024-11-24,left early,Artificial Intelligence Lab
S00078,2024-05-10,excused,Computer Networks
S00131,2024-09-03,PRESENT ,Artificial Intelligence Lab
S00031,2024-07-28,left early,Artificial Intelligence Lab
S00005,2024-11-26,Late,Machine Learning
S00017,2024-12-27,PRESENT ,Machine Learning
S00075,2024-09-04,absnt,Computer Networks
S00103,2024-03-23, late,Computer Networks
S00043,2025-03-01,left early,Artificial Intelligence Lab
S00063,2025-01-31,PRESENT ,Machine Learning
S00017,2025-02-08, late,Artificial Intelligence Lab
S00026,2025-02-23,Absent,Operating Systems
S00068,2024-05-04,Late,Artificial Intelligence Lab
S00088,2024-04-29,left early,Artificial Intelligence Lab
S00090,2024-03-22,PRESENT ,Operating Systems
S00150,2024-12-18,excused,Software Engineering Lab
S00096,2024-10-15,left early,Software Engineering Lab
S00131,2024-07-11,Present,Mathematics for Computing
S00147,2025-02-02,Present,Software Engineering Lab
S00103,2025-02-18,left early,Computer Networks
S00046,2024-09-18,excused,Machine Learning
S00144,2024-04-30,absnt,Operating Systems
S00148,2024-09-06,Late,Database Management Systems
S00101,2024-12-07,PRESENT ,Software Engineering Lab
S00027,2024-12-25,Absent,Machine Learning
S00061,2024-06-27,PRESENT ,Database Management Systems
S00010,2025-02-09,left early,Artificial Intelligence Lab
S00108,2025-02-07, late,Database Management Systems
S00139,2024-11-20,left early,Machine Learning
S00138,2024-04-09,Late,Operating Systems
S00137,2025-01-23,absnt,Software Engineering Lab
S00086,2024-03-22,Late,Mathematics for Computing
S00095,2024-03-17,left early,Software Engineering Lab
S00054,2025-02-24,absnt,Database Management Systems
S00118,2024-05-29, late,Software Engineering Lab
S00120,2024-06-06,Late,Artificial Intelligence Lab
S00134,2024-03-16,Present,Artificial Intelligence Lab
S00098,2025-01-20,excused,Software Engineering Lab
S00123,2024-03-27,PRESENT ,Artificial Intelligence Lab
S00096,2024-04-25,excused,Operating Systems
S00009,2024-07-13,left early,Software Engineering Lab
S00113,2024-07-24,Present,Operating Systems
S00075,2024-04-01,Present,Computer Networks
S00085,2024-08-11,left early,Machine Learning
S00016,2024-07-24,left early,Mathematics for Computing
S00118,2024-10-15,excused,Artificial Intelligence Lab
S00077,2024-10-15,Late,Operating Systems
S00135,2024-12-20,left early,Software Engineering Lab
S00078,2025-02-14,Absent,Operating Systems
S00076,2024-05-13,left early,Artificial Intelligence Lab
S00130,2024-03-28,Absent,Database Management Systems
S00072,2024-11-16,PRESENT ,Computer Networks
S00110,2025-01-20, late,Database Management Systems
S00088,2024-08-26,Absent,Operating Systems
S00013,2025-02-16,left early,Software Engineering Lab
S00114,2024-08-08,Late,Operating Systems
S00049,2024-10-01,Late,Mathematics for Computing
S00143,2024-05-14,PRESENT ,Artificial Intelligence Lab
S00052,2025-03-02,Late,Mathematics for Computing
S00039,2024-10-02,Late,Database Management Systems
S00010,2025-02-09,Late,Computer Networks
S00060,2024-10-06,excused,Mathematics for Computing
S00143,2024-09-13,Late,Computer Networks
S00049,2024-07-27,excused,Machine Learning
S00125,2024-05-14,Absent,Software Engineering Lab
S00107,2024-12-10, late,Mathematics for Computing
S00022,2024-10-04,PRESENT ,Mathematics for Computing
S00066,2024-12-02,left early,Artificial Intelligence Lab
S00136,2024-09-27,PRESENT ,Database Management Systems
S00036,2024-04-09,absnt,Machine Learning
S00133,2024-05-08,Present,Software Engineering Lab
S00067,2024-12-06,left early,Operating Systems
S00063,2024-06-24,left early,Operating Systems
S00045,2024-11-14,Present,Machine Learning
S00130,2024-08-21,absnt,Operating Systems
S00137,2024-05-05,Late,Database Management Systems
S00045,2025-02-09,Absent,Operating Systems
S00003,2024-04-26,left early,Database Management Systems
S00065,2024-06-04,PRESENT ,Database Management Systems
S00006,2024-11-02,left early,Software Engineering Lab
S00026,2024-06-17,Present,Software Engineering Lab
S00015,2024-10-25,Late,Database Management Systems
S00085,2025-02-18,Present,Machine Learning
S00104,2024-05-15,PRESENT ,Artificial Intelligence Lab
S00114,2025-01-15,PRESENT ,Software Engineering Lab
S00109,2024-03-25,PRESENT ,Machine Learning
S00136,2025-02-02,left early,Artificial Intelligence Lab
S00031,2024-09-09,PRESENT ,Mathematics for Computing
S00059,2024-07-13,PRESENT ,Computer Networks
S00116,2024-07-25,Late,Mathematics for Computing
S00092,2025-01-01,absnt,Artificial Intelligence Lab
S00122,2024-12-30, late,Software Engineering Lab
S00110,2025-01-04,excused,Artificial Intelligence Lab
S00081,2024-04-07, late,Mathematics for Computing
S00100,2025-01-25,Present,Mathematics for Computing
S00011,2024-05-20,excused,Operating Systems
S00020,2025-01-15,PRESENT ,Machine Learning
S00086,2024-08-09, late,Database Management Systems
S00044,2025-02-25,Late,Computer Networks
S00103,2024-04-26,Late,Database Management Systems
S00115,2024-04-26,Late,Machine Learning
S00130,2024-07-17,Present,Computer Networks
S00089,2024-04-14,Absent,Computer Networks
S00138,2024-10-05,left early,Machine Learning
S00148,2024-04-30,PRESENT ,Software Engineering Lab
S00146,2025-01-20,Present,Software Engineering Lab
S00021,2024-07-07,Late,Machine Learning
S00128,2024-09-18,left early,Computer Networks
S00122,2024-11-21,left early,Database Management Systems
S00138,2025-02-08,excused,Software Engineering Lab
S00098,2024-06-26,Absent,Machine Learning
S00115,2025-02-12,left early,Operating Systems
S00129,2024-09-20,left early,Machine Learning
S00016,2024-11-17, late,Mathematics for Computing
S00035,2025-01-30,PRESENT ,Machine Learning
S00108,2024-09-18,left early,Operating Systems
S00116,2024-04-28,Late,Machine Learning
S00087,2024-10-18,PRESENT ,Artificial Intelligence Lab
S00056,2024-06-06,Late,Machine Learning
S00099,2024-04-27,left early,Artificial Intelligence Lab
S00115,2024-12-12,Late,Database Management Systems
S00079,2024-05-19, late,Software Engineering Lab
S00093,2024-03-19,left early,Computer Networks
S00050,2024-11-03,PRESENT ,Artificial Intelligence Lab
S00043,2025-02-22, late,Operating Systems
S00069,2025-01-05,excused,Database Management Systems
S00082,2024-12-03,Late,Operating Systems
S00120,2024-08-06,left early,Artificial Intelligence Lab
S00018,2024-03-21,Absent,Artificial Intelligence Lab
S00138,2024-06-14,excused,Database Management Systems
S00138,2024-06-10,PRESENT ,Computer Networks
S00144,2025-02-14,left early,Computer Networks
S00028,2024-11-12,Late,Operating Systems
S00107,2025-01-18,excused,Computer Networks
S00136,2024-11-15,Absent,Database Management Systems
S00011,2024-07-30,Late,Machine Learning
S00108,2025-02-05,Present,Mathematics for Computing
S00010,2024-05-19, late,Database Management Systems
S00001,2024-06-29,PRESENT ,Software Engineering Lab
S00012,2024-04-27,Present,Database Management Systems
S00049,2024-11-30,left early,Computer Networks
S00091,2024-03-29,left early,Software Engineering Lab
S00099,2024-09-04,Absent,Mathematics for Computing
S00054,2024-07-02,absnt,Operating Systems
S00131,2024-04-19,absnt,Machine Learning
S00071,2024-07-03,Late,Database Management Systems
S00030,2024-11-08,PRESENT ,Database Management Systems
S00099,2024-07-16,excused,Mathematics for Computing
S00054,2024-11-27,Absent,Operating Systems
S00131,2024-08-24,Late,Mathematics for Computing
S00121,2024-12-05,excused,Operating Systems
S00008,2024-09-06,excused,Machine Learning
S00117,2024-08-23, late,Artificial Intelligence Lab
S00059,2024-08-30,Late,Machine Learning
S00018,2024-11-25,Present,Software Engineering Lab
S00082,2024-05-03,left early,Computer Networks
S00069,2025-03-04, late,Machine Learning
S00111,2024-12-16,PRESENT ,Operating Systems
S00147,2024-11-17,left early,Computer Networks
S00139,2024-04-29,left early,Mathematics for Computing
S00045,2025-01-20,Present,Software Engineering Lab
S00029,2024-07-25,PRESENT ,Machine Learning
S00136,2024-08-31,PRESENT ,Mathematics for Computing
S00134,2024-04-22,PRESENT ,Operating Systems
S00093,2024-12-27,excused,Artificial Intelligence Lab
S00042,2024-12-13, late,Operating Systems
S00047,2024-04-01,left early,Computer Networks
S00066,2024-12-07, late,Software Engineering Lab
S00107,2024-04-14,left early,Database Management Systems
S00043,2024-12-30, late,Computer Networks
S00142,2024-08-13,Present,Machine Learning
S00020,2024-09-04,Absent,Database Management Systems
S00109,2024-08-17,Late,Operating Systems
S00105,2024-12-13,PRESENT ,Mathematics for Computing
S00124,2024-09-18,Late,Mathematics for Computing
S00124,2024-10-21,PRESENT ,Machine Learning
S00067,2025-02-02,left early,Artificial Intelligence Lab
S00028,2024-09-22, late,Computer Networks
S00118,2024-10-18,absnt,Artificial Intelligence Lab
S00099,2024-03-17,PRESENT ,Machine Learning
S00105,2024-06-16,Present,Mathematics for Computing
S00127,2024-12-09,excused,Mathematics for Computing
S00136,2024-04-25,Absent,Software Engineering Lab
S00037,2024-05-04,left early,Artificial Intelligence Lab
S00120,2024-05-25,Present,Computer Networks
S00126,2024-11-04,Present,Mathematics for Computing
S00079,2024-11-04,Absent,Machine Learning
